api,operator,year,month,oil_bbl,gas_mcf,water_bbl,days_produced
42423000010002,ConocoPhillips Company,2024,1,2274,2494,4286,30
42423000010002,ConocoPhillips Company,2024,2,1946,2578,2312,30
42423000010002,ConocoPhillips Company,2024,3,1254,2150,460,30
42423000010002,ConocoPhillips Company,2024,4,767,390,82,30
42423000010002,ConocoPhillips Company,2024,5,460,720,677,30
42423000010002,ConocoPhillips Company,2024,6,214,355,534,30
42423000010002,ConocoPhillips Company,2024,7,78,58,54,30
42423000010002,ConocoPhillips Company,2024,8,30,39,60,30
42423000010002,ConocoPhillips Company,2024,9,11,6,16,30
42423000010002,ConocoPhillips Company,2024,10,3,2,3,30
42423000020002,Occidental Petroleum Corporation,2024,1,2686,3193,2203,30
42423000020002,Occidental Petroleum Corporation,2024,2,1939,1295,4581,30
42423000020002,Occidental Petroleum Corporation,2024,3,1095,1774,1227,30
42423000020002,Occidental Petroleum Corporation,2024,4,507,521,523,30
42423000020002,Occidental Petroleum Corporation,2024,5,204,118,45,30
42423000020002,Occidental Petroleum Corporation,2024,6,65,111,133,30
42423000020002,Occidental Petroleum Corporation,2024,7,17,29,22,30
42423000020002,Occidental Petroleum Corporation,2024,8,4,7,2,30
42423000020002,Occidental Petroleum Corporation,2024,9,0,0,0,0
42423000020002,Occidental Petroleum Corporation,2024,10,0,0,0,0
42423000030001,Permian Resources Operating LLC,2024,1,2738,1470,1516,30
42423000030001,Permian Resources Operating LLC,2024,2,1776,1832,3608,30
42423000030001,Permian Resources Operating LLC,2024,3,1032,1920,133,30
42423000030001,Permian Resources Operating LLC,2024,4,422,524,248,30
42423000030001,Permian Resources Operating LLC,2024,5,133,131,101,30
42423000030001,Permian Resources Operating LLC,2024,6,34,45,5,30
42423000030001,Permian Resources Operating LLC,2024,7,7,8,7,30
42423000030001,Permian Resources Operating LLC,2024,8,1,1,1,30
42423000030001,Permian Resources Operating LLC,2024,9,0,0,0,0
42423000030001,Permian Resources Operating LLC,2024,10,0,0,0,0
42423000040002,ConocoPhillips Company,2024,1,3123,5733,1979,30
42423000040002,ConocoPhillips Company,2024,2,2530,3577,3874,30
42423000040002,ConocoPhillips Company,2024,3,1891,2063,4582,30
42423000040002,ConocoPhillips Company,2024,4,969,780,2331,30
42423000040002,ConocoPhillips Company,2024,5,432,561,189,30
42423000040002,ConocoPhillips Company,2024,6,156,247,145,30
42423000040002,ConocoPhillips Company,2024,7,47,30,60,30
42423000040002,ConocoPhillips Company,2024,8,11,21,9,30
42423000040002,ConocoPhillips Company,2024,9,2,1,2,30
42423000040002,ConocoPhillips Company,2024,10,0,0,0,0
42423000050000,Independence Resources Management LLC,2024,1,1991,1467,3480,30
42423000050000,Independence Resources Management LLC,2024,2,1644,1055,2643,30
42423000050000,Independence Resources Management LLC,2024,3,1005,1801,2451,30
42423000050000,Independence Resources Management LLC,2024,4,585,706,851,30
42423000050000,Independence Resources Management LLC,2024,5,323,351,548,30
42423000050000,Independence Resources Management LLC,2024,6,151,198,56,30
42423000050000,Independence Resources Management LLC,2024,7,53,29,13,30
42423000050000,Independence Resources Management LLC,2024,8,17,29,8,30
42423000050000,Independence Resources Management LLC,2024,9,6,3,4,30
42423000050000,Independence Resources Management LLC,2024,10,1,1,0,30
42423000060000,Parsley Energy Operations LLC,2024,1,1448,988,579,30
42423000060000,Parsley Energy Operations LLC,2024,2,1222,2249,2774,30
42423000060000,Parsley Energy Operations LLC,2024,3,1030,1637,1871,30
42423000060000,Parsley Energy Operations LLC,2024,4,640,334,828,30
42423000060000,Parsley Energy Operations LLC,2024,5,298,410,341,30
42423000060000,Parsley Energy Operations LLC,2024,6,160,186,102,30
42423000060000,Parsley Energy Operations LLC,2024,7,61,121,139,30
42423000060000,Parsley Energy Operations LLC,2024,8,24,24,20,30
42423000060000,Parsley Energy Operations LLC,2024,9,7,13,1,30
42423000060000,Parsley Energy Operations LLC,2024,10,1,1,1,30
42423000070002,Devon Energy Production Company LP,2024,1,1524,3044,1283,30
42423000070002,Devon Energy Production Company LP,2024,2,1049,843,758,30
42423000070002,Devon Energy Production Company LP,2024,3,639,777,920,30
42423000070002,Devon Energy Production Company LP,2024,4,226,308,67,30
42423000070002,Devon Energy Production Company LP,2024,5,75,100,103,30
42423000070002,Devon Energy Production Company LP,2024,6,21,17,49,30
42423000070002,Devon Energy Production Company LP,2024,7,4,2,7,30
42423000070002,Devon Energy Production Company LP,2024,8,0,0,0,0
42423000070002,Devon Energy Production Company LP,2024,9,0,0,0,0
42423000070002,Devon Energy Production Company LP,2024,10,0,0,0,0
42423000080002,Pioneer Natural Resources USA Inc,2024,1,1060,1417,2274,30
42423000080002,Pioneer Natural Resources USA Inc,2024,2,833,1170,1104,30
42423000080002,Pioneer Natural Resources USA Inc,2024,3,577,607,1151,30
42423000080002,Pioneer Natural Resources USA Inc,2024,4,294,323,363,30
42423000080002,Pioneer Natural Resources USA Inc,2024,5,128,84,216,30
42423000080002,Pioneer Natural Resources USA Inc,2024,6,51,85,12,30
42423000080002,Pioneer Natural Resources USA Inc,2024,7,21,19,20,30
42423000080002,Pioneer Natural Resources USA Inc,2024,8,6,3,6,30
42423000080002,Pioneer Natural Resources USA Inc,2024,9,1,0,2,30
42423000080002,Pioneer Natural Resources USA Inc,2024,10,0,0,0,0
42423000090102,Chevron USA Inc,2024,1,3954,4697,7898,30
42423000090102,Chevron USA Inc,2024,2,2823,3912,5997,30
42423000090102,Chevron USA Inc,2024,3,1496,2600,2800,30
42423000090102,Chevron USA Inc,2024,4,596,732,293,30
42423000090102,Chevron USA Inc,2024,5,221,226,326,30
42423000090102,Chevron USA Inc,2024,6,58,49,8,30
42423000090102,Chevron USA Inc,2024,7,12,15,20,30
42423000090102,Chevron USA Inc,2024,8,2,2,4,30
42423000090102,Chevron USA Inc,2024,9,0,0,0,0
42423000090102,Chevron USA Inc,2024,10,0,0,0,0
42423000100102,EOG Resources Inc,2024,1,5362,4643,9853,30
