id,name,operator_number,address,created_at,updated_at
4fb2f59e-4fb2-4fb2-4fb2-4fb2f59e0000,Devon Energy Production Company LP,,,2025-11-01 07:31:21.63307+00,2025-11-01 07:31:21.63307+00
4f32ac71-4f32-4f32-4f32-4f32ac710000,Permian Resources Operating LLC,,,2025-11-01 07:31:21.63307+00,2025-11-01 07:31:21.63307+00
3de19b3f-3de1-3de1-3de1-3de19b3f0000,Occidental Petroleum Corporation,,,2025-11-01 07:31:21.63307+00,2025-11-01 07:31:21.63307+00
4d25df25-4d25-4d25-4d25-4d25df250000,Centennial Resource Production LLC,,,2025-11-01 07:31:21.63307+00,2025-11-01 07:31:21.63307+00
07fe53e2-07fe-07fe-07fe-07fe53e20000,Laredo Petroleum Inc,,,2025-11-01 07:31:21.63307+00,2025-11-01 07:31:21.63307+00
150ebf85-150e-150e-150e-150ebf850000,Marathon Oil Company,,,2025-11-01 07:31:21.63307+00,2025-11-01 07:31:21.63307+00
7cc35678-7cc3-7cc3-7cc3-7cc356780000,Callon Petroleum Operating Company,,,2025-11-01 07:31:21.63307+00,2025-11-01 07:31:21.63307+00
15172e26-1517-1517-1517-15172e260000,Cimarex Energy Company,,,2025-11-01 07:31:21.63307+00,2025-11-01 07:31:21.63307+00
1ab39a95-1ab3-1ab3-1ab3-1ab39a950000,SM Energy Company,,,2025-11-01 07:31:21.63307+00,2025-11-01 07:31:21.63307+00
06f0fd84-06f0-06f0-06f0-06f0fd840000,Chevron USA Inc,,,2025-11-01 07:31:21.63307+00,2025-11-01 07:31:21.63307+00
1278dcab-1278-1278-1278-1278dcab0000,Parsley Energy Operations LLC,,,2025-11-01 07:31:21.63307+00,2025-11-01 07:31:21.63307+00
52142036-5214-5214-5214-521420360000,Apache Corporation,,,2025-11-01 07:31:21.63307+00,2025-11-01 07:31:21.63307+00
03694fb1-0369-0369-0369-03694fb10000,ConocoPhillips Company,,,2025-11-01 07:31:21.63307+00,2025-11-01 07:31:21.63307+00
4b5016f5-4b50-4b50-4b50-4b5016f50000,Concho Resources Inc,,,2025-11-01 07:31:21.63307+00,2025-11-01 07:31:21.63307+00
7c05ae65-7c05-7c05-7c05-7c05ae650000,Independence Resources Management LLC,,,2025-11-01 07:31:21.63307+00,2025-11-01 07:31:21.63307+00
